1930,70,Uruguay,Uruguay
1934,70,Italy,Italy
1938,84,France,Italy
1950,88,Brazil,Uruguay
1954,140,Switzerland,West Germany
1958,126,Sweden,Brazil
1962,89,Chile,Brazil
1966,89,England,England
1970,95,Mexico,Brazil
1974,97,West Germany,West Germany
1978,102,Argentina,Argentina
1982,146,Spain,Italy
1986,132,Mexico,Argentina
1990,115,Italy,West Germany
1994,141,United States,Brazil
1998,171,France,France
2002,161,South Korea / Japan,Brazil
2006,147,Germany,Italy
2010,145,South Africa,Spain
2014,171,Brazil,Germany
